name,price,size,img1
Elegant  Plaid Emblem Polo T-Shirt,99.0,M,https://cdn.shopify.com/s/files/1/0752/9316/3737/files/Az_HHHH_B_MI_SP__1734350193389_jpg.png?v=1748507219
,99.0,M,https://cdn.shopify.com/s/files/1/0752/9316/3737/files/Az_HHHH_B_MI_SP__1734350190951_jpg.png?v=1748507219
,99.0,L,https://cdn.shopify.com/s/files/1/0752/9316/3737/files/Az_HHHH_B_MI_SP__1734350193389_jpg.png?v=1748507219
,99.0,L,https://cdn.shopify.com/s/files/1/0752/9316/3737/files/Az_HHHH_B_MI_SP__1734350190951_jpg.png?v=1748507219
,99.0,XL,https://cdn.shopify.com/s/files/1/0752/9316/3737/files/Az_HHHH_B_MI_SP__1734350193389_jpg.png?v=1748507219
,99.0,XL,https://cdn.shopify.com/s/files/1/0752/9316/3737/files/Az_HHHH_B_MI_SP__1734350190951_jpg.png?v=1748507219
,99.0,XXL,https://cdn.shopify.com/s/files/1/0752/9316/3737/files/Az_HHHH_B_MI_SP__1734350193389_jpg.png?v=1748507219
,99.0,XXL,https://cdn.shopify.com/s/files/1/0752/9316/3737/files/Az_HHHH_B_MI_SP__1734350190951_jpg.png?v=1748507219
Oxford Elite Striped Polo,99.0,M/40,https://cdn.shopify.com/s/files/1/0752/9316/3737/files/Poshpeno_7.png?v=1748507210
,99.0,M/40,https://cdn.shopify.com/s/files/1/0752/9316/3737/files/Poshpeno_6.png?v=1748507210
,99.0,M/40,https://cdn.shopify.com/s/files/1/0752/9316/3737/files/Poshpeno_5.png?v=1748507210
,99.0,L/42,https://cdn.shopify.com/s/files/1/0752/9316/3737/files/Poshpeno_7.png?v=1748507210
,99.0,L/42,https://cdn.shopify.com/s/files/1/0752/9316/3737/files/Poshpeno_6.png?v=1748507210
,99.0,L/42,https://cdn.shopify.com/s/files/1/0752/9316/3737/files/Poshpeno_5.png?v=1748507210
,99.0,XL/44,https://cdn.shopify.com/s/files/1/0752/9316/3737/files/Poshpeno_7.png?v=1748507210
,99.0,XL/44,https://cdn.shopify.com/s/files/1/0752/9316/3737/files/Poshpeno_6.png?v=1748507210
,99.0,XL/44,https://cdn.shopify.com/s/files/1/0752/9316/3737/files/Poshpeno_5.png?v=1748507210
